"CollegeAthleteId","NflAthleteId","CollegeId","CollegeTeam","CollegeConference","NflTeam","Year","Overall","Round","Pick","Name","Position","Height","Weight","PreDraftRanking","PreDraftPositionRanking","PreDraftGrade","HometownInfo City","HometownInfo State","HometownInfo Country","HometownInfo Latitude","HometownInfo Longitude","HometownInfo CountyFips"
"-1032080","33597","2579","South Carolina","SEC","Houston","2014","1","1","1","Jadeveon Clowney","Defensive End","77","266","1","1","98","Rock Hill","SC","USA","34.9248667","-81.0250784","45091"
"-1003724","34748","2","Auburn","SEC","Los Angeles","2014","2","1","2","Greg Robinson","Offensive Tackle","77","332","2","1","97","Thibodaux","LA","USA","29.7957633","-90.822871","22057"
"505719","34717","2116","UCF","American Athletic","Jacksonville","2014","3","1","3","Blake Bortles","Quarterback","77","232","18","1","91","Oviedo","FL","USA","28.6702526","-81.2084941","12117"
"512839","33609","228","Clemson","ACC","Buffalo","2014","4","1","4","Sammy Watkins","Wide Receiver","73","211","4","1","96","Fort Myers","FL","USA","26.640628","-81.8723084","12071"
"482263","34108","2084","Buffalo","Mid-American","Las Vegas","2014","5","1","5","Khalil Mack","Outside Linebacker","75","251","3","1","96","Fort Pierce","FL","USA","27.4467056","-80.3256056","12111"
"-1035182","33601","245","Texas A&M","SEC","Atlanta","2014","6","1","6","Jake Matthews","Offensive Tackle","78","308","5","2","95","Missouri City","TX","USA","29.6185669","-95.5377215","48157"
"517502","34120","245","Texas A&M","SEC","Tampa Bay","2014","7","1","7","Mike Evans","Wide Receiver","77","231","7","2","94","Galveston","TX","USA","29.299328","-94.7945882","48167"
"501598","34122","197","Oklahoma State","Big 12","Cleveland","2014","8","1","8","Justin Gilbert","Cornerback","72","202","20","3","91","Huntsville","TX","USA","30.7235263","-95.5507771","48471"
"500338","33600","26","UCLA","Pac-12","Minnesota","2014","9","1","9","Anthony Barr","Outside Linebacker","77","255","25","3","90","San Pedro","CA","USA","33.7358518","-118.2922934","06037"
"516329","33617","153","North Carolina","ACC","Detroit","2014","10","1","10","Eric Ebron","Tight End","76","250","11","1","92","Greensboro","NC","USA","36.0726355","-79.7919754","37081"
"481433","33612","130","Michigan","Big Ten","Tennessee","2014","11","1","11","Taylor Lewan","Offensive Tackle","79","309","8","3","94","Cave Creek","AZ","USA","33.8333333","-111.9508333","04013"
"517215","33072","99","LSU","SEC","New York","2014","12","1","12","Odell Beckham Jr.","Wide Receiver","71","198","10","3","93","New Orleans","LA","USA","29.9499323","-90.0701156","22071"
"-1029487","34113","221","Pittsburgh","ACC","Los Angeles","2014","13","1","13","Aaron Donald","Defensive Tackle","73","285","6","1","94","Pittsburgh","PA","USA","40.4416941","-79.9900861","42003"
"501214","33087","259","Virginia Tech","ACC","Chicago","2014","14","1","14","Kyle Fuller","Cornerback","72","190","15","2","92","Baltimore","MD","USA","39.2908816","-76.610759","24510"
"514180","34117","194","Ohio State","Big Ten","Pittsburgh","2014","15","1","15","Ryan Shazier","Outside Linebacker","73","237","17","2","92","Pompano Beach","FL","USA","26.2378597","-80.1247667","12011"
"-1026442","34107","87","Notre Dame","FBS Independents","Dallas","2014","16","1","16","Zack Martin","Offensive Tackle","76","308","9","4","93","Indianapolis","IN","USA","39.7683331","-86.1583502","18097"
"504048","33605","333","Alabama","SEC","Baltimore","2014","17","1","17","C.J. Mosley","Inside Linebacker","74","234","14","1","92","Theodore","AL","USA","30.547295","-88.18020367595204","01097"
"-1018126","34749","97","Louisville","American Athletic","New York","2014","18","1","18","Calvin Pryor","Safety","71","207","21","2","91","Port St. Joe","FL","USA","29.8118757","-85.302974","12045"
"-1034399","33101","2633","Tennessee","SEC","Miami","2014","19","1","19","Ja'Wuan James","Offensive Tackle","78","311","55","8","80","Suwanee","GA","USA","34.0514898","-84.0712997","13135"
"511476","34722","204","Oregon State","Pac-12","New Orleans","2014","20","1","20","Brandin Cooks","Wide Receiver","70","189","19","4","91","Stockton","CA","USA","37.9577016","-121.2907796","06077"
"513125","33619","333","Alabama","SEC","Green Bay","2014","21","1","21","Ha Ha Clinton-Dix","Safety","73","208","13","1","92","Orlando","FL","USA","28.5421109","-81.3790304","12095"
"517475","33057","245","Texas A&M","SEC","Cleveland","2014","22","1","22","Johnny Manziel","Quarterback","72","207","22","2","90","Kerrville","TX","USA","30.0474688","-99.1400207","48265"
