"CollegeAthleteId","NflAthleteId","CollegeId","CollegeTeam","CollegeConference","NflTeam","Year","Overall","Round","Pick","Name","Position","Height","Weight","PreDraftRanking","PreDraftPositionRanking","PreDraftGrade","HometownInfo City","HometownInfo State","HometownInfo Country","HometownInfo Latitude","HometownInfo Longitude","HometownInfo CountyFips"
"3122132","51534","245","Texas A&M","SEC","Cleveland","2017","1","1","1","Myles Garrett","Defensive End","77","272","1","1","95","Arlington","TX","USA","32.701938999999996","-97.10562379033699","48439"
"3039707","51705","153","North Carolina","ACC","Chicago","2017","2","1","2","Mitchell Trubisky","Quarterback","74","222","27","1","89","","","","","",""
"3117258","51730","24","Stanford","Pac-12","San Francisco","2017","3","1","3","Solomon Thomas","Defensive Tackle","75","273","3","1","94","Coppell","TX","USA","32.9552598","-97.0155703","48113"
"559752","51572","99","LSU","SEC","Jacksonville","2017","4","1","4","Leonard Fournette","Running Back","73","240","4","1","93","New Orleans","LA","USA","29.9499323","-90.0701156","22071"
"545923","51674","2711","Western Michigan","Mid-American","Tennessee","2017","5","1","5","Corey Davis","Wide Receiver","75","209","15","2","91","Wheaton","IL","USA","41.8646959","-88.1101709","17043"
"559592","52106","99","LSU","SEC","New York","2017","6","1","6","Jamal Adams","Safety","72","214","2","1","94","Lewisville","TX","USA","33.046233","-96.994174","48121"
"546644","51583","228","Clemson","ACC","Los Angeles","2017","7","1","7","Mike Williams","Wide Receiver","76","218","12","1","91","Vance","SC","USA","33.4337744","-80.4228665","45075"
"3117251","51575","24","Stanford","Pac-12","Carolina","2017","8","1","8","Christian McCaffrey","Running Back","71","202","9","2","92","Castle Rock","CO","USA","39.3724232","-104.8586706","08035"
"550330","51811","264","Washington","Pac-12","Cincinnati","2017","9","1","9","John Ross","Wide Receiver","71","188","20","3","90","Long Beach","CA","USA","33.7690164","-118.1916048","06037"
"3139477","52092","2641","Texas Tech","Big 12","Kansas City","2017","10","1","10","Patrick Mahomes","Quarterback","74","225","44","3","85","Whitehouse","TX","USA","32.2268666","-95.2259279","48423"
"3121421","52107","194","Ohio State","Big Ten","New Orleans","2017","11","1","11","Marshon Lattimore","Cornerback","72","193","6","1","92","Cleveland","OH","USA","41.5051613","-81.6934446","39035"
"3122840","51563","228","Clemson","ACC","Houston","2017","12","1","12","Deshaun Watson","Quarterback","75","221","28","2","88","Gainesville","GA","USA","34.2978794","-83.8240663","13139"
"536179","51931","218","Temple","American Athletic","Arizona","2017","13","1","13","Haason Reddick","Inside Linebacker","74","237","11","2","92","Camden","NJ","USA","39.9448402","-75.1198911","34007"
"559724","51532","2633","Tennessee","SEC","Philadelphia","2017","14","1","14","Derek Barnett","Defensive End","75","259","13","2","91","Nashville","TN","USA","36.1622296","-86.7743531","47037"
"3121415","52108","194","Ohio State","Big Ten","Indianapolis","2017","15","1","15","Malik Hooker","Safety","73","206","10","2","92","New Castle","PA","USA","40.9999202","-80.3471856","42073"
"3126356","51719","333","Alabama","SEC","Baltimore","2017","16","1","16","Marlon Humphrey","Cornerback","72","197","23","3","89","Hoover","AL","USA","33.3848933","-86.8070484","01073"
"551288","51744","333","Alabama","SEC","Washington","2017","17","1","17","Jonathan Allen","Defensive Tackle","75","286","5","2","93","Leesburg","VA","USA","39.1154496","-77.5645446","51107"
"3120347","51594","30","USC","Pac-12","Tennessee","2017","18","1","18","Adoree' Jackson","Cornerback","70","186","29","5","88","Belleville","IL","USA","38.5200504","-89.9839935","17163"
"546370","51578","333","Alabama","SEC","Tampa Bay","2017","19","1","19","O.J. Howard","Tight End","78","251","7","1","92","Prattville","AL","USA","32.4640245","-86.4596966","01001"
"-1039929","51774","254","Utah","Pac-12","Denver","2017","20","1","20","Garett Bolles","Offensive Tackle","77","297","34","3","87","Lehi","UT","USA","40.3880902","-111.8491619","49049"
"551315","51992","57","Florida","SEC","Detroit","2017","21","1","21","Jarrad Davis","Inside Linebacker","73","238","25","3","89","Kingsland","GA","USA","30.7999563","-81.6898261","13039"
"549904","51991","142","Missouri","SEC","Miami","2017","22","1","22","Charles Harris","Outside Linebacker","75","253","18","1","90","Kansas City","MO","USA","39.100105","-94.5781416","29095"
"550117","51667","145","Ole Miss","SEC","New York","2017","23","1","23","Evan Engram","Tight End","75","234","21","3","90","Powder Springs","GA","USA","33.8595492","-84.683824","13067"
"549810","52110","194","Ohio State","Big Ten","Las Vegas","2017","24","1","24","Gareon Conley","Cornerback","72","195","","34","30","Massillon","OH","USA","40.7967244","-81.5215093","39151"
"3115962","51604","130","Michigan","Big Ten","Cleveland","2017","25","1","25","Jabrill Peppers","Safety","71","213","48","7","84","East Orange","NJ","USA","40.767323","-74.2048677","34013"
"3152371","52005","26","UCLA","Pac-12","Atlanta","2017","26","1","26","Takkarist McKinley","Defensive End","74","250","24","3","89","Richmond","CA","USA","37.9357576","-122.3477486","06013"
"545878","48609","99","LSU","SEC","Buffalo","2017","27","1","27","Tre'Davious White","Cornerback","71","192","26","4","89","Shreveport","LA","USA","32.5221828","-93.7651944","22017"
"546716","51689","130","Michigan","Big Ten","Dallas","2017","28","1","28","Taco Charlton","Defensive End","78","277","38","4","86","Pickerington","OH","USA","39.896277299999994","-82.77319049748806","39045"
"3123076","51793","2390","Miami","ACC","Cleveland","2017","29","1","29","David Njoku","Tight End","76","246","14","2","91","Cedar Grove","NJ","USA","40.8517662","-74.229035","34013"
"546866","52093","275","Wisconsin","Big Ten","Pittsburgh","2017","30","1","30","T.J. Watt","Outside Linebacker","77","252","37","3","86","Pewaukee","WI","USA","43.0805651","-88.2612045","55133"
"551292","51554","333","Alabama","SEC","San Francisco","2017","31","1","31","Reuben Foster","Inside Linebacker","72","229","8","1","92","Auburn","AL","USA","32.6550905","-85.50364346309962","01081"
"-1043790","51701","275","Wisconsin","Big Ten","New Orleans","2017","32","1","32","Ryan Ramczyk","Offensive Tackle","78","310","30","2","88","Stevens Point","WI","USA","44.5229223","-89.574111","55097"
"550323","52109","264","Washington","Pac-12","Green Bay","2017","33","2","1","Kevin King","Cornerback","75","200","22","2","89","Oakland","CA","USA","37.8044557","-122.2713563","06001"
"-1000867","51562","333","Alabama","SEC","Jacksonville","2017","34","2","2","Cam Robinson","Offensive Tackle","78","322","19","1","90","Monroe","LA","USA","32.5093109","-92.1193012","22073"
"3134681","51610","127","Michigan State","Big Ten","Seattle","2017","35","2","3","Malik McDowell","Defensive Tackle","78","295","41","3","86","Detroit","MI","USA","42.3315509","-83.0466403","26163"
