"CollegeAthleteId","NflAthleteId","CollegeId","CollegeTeam","CollegeConference","NflTeam","Year","Overall","Round","Pick","Name","Position","Height","Weight","PreDraftRanking","PreDraftPositionRanking","PreDraftGrade","HometownInfo City","HometownInfo State","HometownInfo Country","HometownInfo Latitude","HometownInfo Longitude","HometownInfo CountyFips"
"547401","49986","25","California","Pac-12","Los Angeles","2016","1","1","1","Jared Goff","Quarterback","76","215","11","2","91","Novato","CA","USA","38.1061979","-122.5681191","06041"
"2573079","49988","2449","North Dakota State","MVFC","Philadelphia","2016","2","1","2","Carson Wentz","Quarterback","77","237","10","1","91","","","","","",""
"549808","49517","194","Ohio State","Big Ten","Los Angeles","2016","3","1","3","Joey Bosa","Defensive End","77","269","1","1","94","Fort Lauderdale","FL","USA","26.1223084","-80.1433786","12011"
"549811","50025","194","Ohio State","Big Ten","Dallas","2016","4","1","4","Ezekiel Elliott","Running Back","72","225","4","1","93","St. Louis","MO","USA","38.6268039","-90.1994097","29510"
"546810","49428","52","Florida State","ACC","Jacksonville","2016","5","1","5","Jalen Ramsey","Cornerback","73","209","3","1","93","Smyrna","TN","USA","35.9828413","-86.5186045","47149"
"-1026408","49919","87","Notre Dame","FBS Independents","Baltimore","2016","6","1","6","Ronnie Stanley","Offensive Tackle","78","312","5","2","93","Las Vegas","NV","USA","36.1672559","-115.1485163","32003"
"530870","49518","2483","Oregon","Pac-12","San Francisco","2016","7","1","7","DeForest Buckner","Defensive End","79","291","6","2","92","Waianae","HI","USA","21.446678","-158.185272","15003"
"-1020735","49920","127","Michigan State","Big Ten","Tennessee","2016","8","1","8","Jack Conklin","Offensive Tackle","78","308","7","3","92","Plainwell","MI","USA","42.4400357","-85.6489035","26005"
"-1011681","49876","61","Georgia","SEC","Chicago","2016","9","1","9","Leonard Floyd","Outside Linebacker","78","244","9","2","91","Eastman","GA","USA","32.1976729","-83.1776514","13091"
"545623","50243","194","Ohio State","Big Ten","New York","2016","10","1","10","Eli Apple","Cornerback","73","199","25","4","89","Voorhees","NJ","USA","39.8512162","-74.9619779","34007"
"551319","49429","57","Florida","SEC","Tampa Bay","2016","11","1","11","Vernon Hargreaves III","Cornerback","71","204","23","3","89","","","","","",""
"530381","49651","97","Louisville","ACC","New Orleans","2016","12","1","12","Sheldon Rankins","Defensive Tackle","73","299","12","1","91","Covington","GA","USA","33.5967815","-83.8601827","13217"
