"CollegeAthleteId","NflAthleteId","CollegeId","CollegeTeam","CollegeConference","NflTeam","Year","Overall","Round","Pick","Name","Position","Height","Weight","PreDraftRanking","PreDraftPositionRanking","PreDraftGrade","HometownInfo City","HometownInfo State","HometownInfo Country","HometownInfo Latitude","HometownInfo Longitude","HometownInfo CountyFips"
"3917315","103832","201","Oklahoma","Big 12","Arizona","2019","1","1","1","Kyler Murray","Quarterback","70","207","9","1","90","Allen","TX","USA","33.1031744","-96.6705503","48085"
"4040605","103504","194","Ohio State","Big Ten","San Francisco","2019","2","1","2","Nick Bosa","Defensive End","76","266","1","1","95","Fort Lauderdale","FL","USA","26.1223084","-80.1433786","12011"
"4040982","103509","333","Alabama","SEC","New York","2019","3","1","3","Quinnen Williams","Defensive Tackle","75","303","2","1","95","Birmingham","AL","USA","33.5206824","-86.8024326","01073"
"3728258","103514","228","Clemson","ACC","Las Vegas","2019","4","1","4","Clelin Ferrell","Defensive End","76","264","21","3","89","Richmond","VA","USA","37.5385087","-77.43428","51760"
"4035434","103507","99","LSU","SEC","Tampa Bay","2019","5","1","5","Devin White","Inside Linebacker","72","237","4","1","94","Springhill","LA","USA","33.0059692","-93.4668396","22119"
"3917792","103572","150","Duke","ACC","New York","2019","6","1","6","Daniel Jones","Quarterback","77","221","59","6","80","Charlotte","NC","USA","35.2272","-80.843083","37119"
"3915239","103524","96","Kentucky","SEC","Jacksonville","2019","7","1","7","Josh Allen","Outside Linebacker","77","262","5","1","93","Montclair","NJ","USA","40.8164458","-74.2210643","34013"
"4036133","103545","2294","Iowa","Big Ten","Detroit","2019","8","1","8","T.J. Hockenson","Tight End","77","251","6","1","92","Chariton","IA","USA","41.0147507","-93.3072514","19117"
"4039303","103505","248","Houston","American Athletic","Buffalo","2019","9","1","9","Ed Oliver","Defensive Tackle","74","287","3","2","94","Houston","TX","USA","29.7589382","-95.3676974","48201"
"4036261","103522","130","Michigan","Big Ten","Pittsburgh","2019","10","1","10","Devin Bush","Inside Linebacker","71","234","8","2","91","Pembroke Pines","FL","USA","26.02322025","-80.34123906625615","12011"
"4040726","103513","333","Alabama","SEC","Cincinnati","2019","11","1","11","Jonah Williams","Offensive Tackle","77","302","17","2","90","Folsom","CA","USA","38.6779591","-121.1760583","06067"
"4046523","103508","130","Michigan","Big Ten","Green Bay","2019","12","1","12","Rashan Gary","Defensive End","76","277","13","2","90","Plainfield","NJ","USA","40.6337136","-74.4073737","34039"
"3728266","103516","228","Clemson","ACC","Miami","2019","13","1","13","Christian Wilkins","Defensive Tackle","75","315","7","3","92","Springfield","MA","USA","42.1014831","-72.589811","25013"
"3672833","103621","103","Boston College","ACC","Atlanta","2019","14","1","14","Chris Lindstrom","Offensive Guard","76","308","41","1","86","Dudley","MA","USA","42.0572744","-71.9396898","25027"
"4040616","103560","194","Ohio State","Big Ten","Washington","2019","15","1","15","Dwayne Haskins","Quarterback","75","231","15","2","90","Potomac","MD","USA","39.017936","-77.2094542","24031"
"4035631","103525","52","Florida State","ACC","Carolina","2019","16","1","16","Brian Burns","Outside Linebacker","77","249","14","2","90","Fort Lauderdale","FL","USA","26.1223084","-80.1433786","12011"
"4035483","103510","228","Clemson","ACC","New York","2019","17","1","17","Dexter Lawrence","Defensive Tackle","77","342","26","5","89","Wake Forest","NC","USA","35.9803138","-78.5103731","37183"
"3116729","103726","152","NC State","ACC","Minnesota","2019","18","1","18","Garrett Bradbury","Center","75","306","18","1","90","Charlotte","NC","USA","35.2272","-80.843083","37119"
"4035369","103519","344","Mississippi State","SEC","Tennessee","2019","19","1","19","Jeffery Simmons","Defensive Tackle","76","305","16","4","90","Macon","MS","USA","33.1054039","-88.5608767","28103"
"4036131","103528","2294","Iowa","Big Ten","Denver","2019","20","1","20","Noah Fant","Tight End","76","249","12","2","90","Omaha","NE","USA","41.2587459","-95.9383758","31055"
"3915419","103927","120","Maryland","Big Ten","Green Bay","2019","21","1","21","Darnell Savage Jr.","Safety","71","198","28","2","88","Newark","DE","USA","39.6852191","-75.7508289","10003"
"3127264","103569","265","Washington State","Pac-12","Philadelphia","2019","22","1","22","Andre Dillard","Offensive Tackle","77","315","19","3","90","Woodinville","WA","USA","47.7545827","-122.1588902","53033"
"3131498","103749","2011","Alabama State","SWAC","Houston","2019","23","1","23","Tytus Howard","Offensive Tackle","77","322","47","6","84","Monroeville","AL","USA","31.5279399","-87.3247077","01099"
"4047365","103839","333","Alabama","SEC","Las Vegas","2019","24","1","24","Josh Jacobs","Running Back","70","220","23","1","89","Tulsa","OK","USA","36.1556805","-95.9929113","40143"
"4241372","103527","201","Oklahoma","Big 12","Baltimore","2019","25","1","25","Marquise Brown","Wide Receiver","69","166","11","1","90","Hollywood","FL","USA","26.0112014","-80.1494901","12011"
"3134690","103523","344","Mississippi State","SEC","Washington","2019","26","1","26","Montez Sweat","Defensive End","78","260","22","4","89","Stone Mountain","GA","USA","33.8080924","-84.1706273","13089"
"3728305","103531","344","Mississippi State","SEC","Las Vegas","2019","27","1","27","Johnathan Abram","Safety","71","205","20","1","90","Columbia","MS","USA","31.2518439","-89.83758","28091"
