"CollegeAthleteId","NflAthleteId","CollegeId","CollegeTeam","CollegeConference","NflTeam","Year","Overall","Round","Pick","Name","Position","Height","Weight","PreDraftRanking","PreDraftPositionRanking","PreDraftGrade","HometownInfo City","HometownInfo State","HometownInfo Country","HometownInfo Latitude","HometownInfo Longitude","HometownInfo CountyFips"
"550373","101525","201","Oklahoma","Big 12","Cleveland","2018","1","1","1","Baker Mayfield","Quarterback","73","215","11","4","91","Austin","TX","USA","30.2711286","-97.7436995","48453"
"3929630","101507","213","Penn State","Big Ten","New York","2018","2","1","2","Saquon Barkley","Running Back","72","233","1","1","97","Coplay","PA","USA","40.6700965","-75.4954612","42077"
"3912547","101504","30","USC","Pac-12","New York","2018","3","1","3","Sam Darnold","Quarterback","75","221","4","1","94","Capistrano Beach","CA","USA","33.4625277","-117.6717175","06059"
"3915535","101662","194","Ohio State","Big Ten","Cleveland","2018","4","1","4","Denzel Ward","Cornerback","71","183","6","1","93","Macedonia","OH","USA","41.313667","-81.50845","39153"
"3116733","101508","152","NC State","ACC","Denver","2018","5","1","5","Bradley Chubb","Defensive End","76","269","2","1","95","Marietta","GA","USA","33.9528472","-84.5496148","13067"
"3129308","101518","87","Notre Dame","FBS Independents","Indianapolis","2018","6","1","6","Quenton Nelson","Offensive Guard","77","325","3","1","95","Holmdel","NJ","USA","40.3451095","-74.1840322","34025"
"3918298","101505","2751","Wyoming","Mountain West","Buffalo","2018","7","1","7","Josh Allen","Quarterback","77","237","10","3","92","Firebaugh","CA","USA","36.8588376","-120.4560072","06019"
"3915189","101520","61","Georgia","SEC","Chicago","2018","8","1","8","Roquan Smith","Outside Linebacker","73","236","5","1","94","Montezuma","GA","USA","32.3051576","-84.0274073","13193"
"550954","101516","87","Notre Dame","FBS Independents","San Francisco","2018","9","1","9","Mike McGlinchey","Offensive Tackle","80","309","13","1","91","Philadelphia","PA","USA","39.9527237","-75.1635262","42101"
"3886377","101506","26","UCLA","Pac-12","Arizona","2018","10","1","10","Josh Rosen","Quarterback","76","226","9","2","92","Manhattan Beach","CA","USA","33.8915985","-118.3951241","06037"
"3925345","101660","333","Alabama","SEC","Miami","2018","11","1","11","Minkah Fitzpatrick","Safety","72","204","8","2","93","Old Bridge","NJ","USA","40.414071","-74.3042101","34023"
"3134362","101526","264","Washington","Pac-12","Tampa Bay","2018","12","1","12","Vita Vea","Defensive Tackle","76","347","14","1","91","Milpitas","CA","USA","37.4282724","-121.9066238","06085"
"3925354","101536","333","Alabama","SEC","Washington","2018","13","1","13","Da'Ron Payne","Defensive Tackle","75","311","15","2","91","Birmingham","AL","USA","33.5206824","-86.8024326","01073"
"3124058","101603","2636","UT San Antonio","Conference USA","New Orleans","2018","14","1","14","Marcus Davenport","Defensive End","78","264","16","2","91","San Antonio","TX","USA","29.4246002","-98.4951405","48029"
"3134312","101788","26","UCLA","Pac-12","Las Vegas","2018","15","1","15","Kolton Miller","Offensive Tackle","81","309","30","2","87","Roseville","CA","USA","38.7521235","-121.2880059","06061"
"3929950","101528","259","Virginia Tech","ACC","Buffalo","2018","16","1","16","Tremaine Edmunds","Outside Linebacker","77","253","12","2","91","Danville","VA","USA","36.5859718","-79.3950228","51590"
"3691739","101661","52","Florida State","ACC","Los Angeles","2018","17","1","17","Derwin James","Safety","74","215","7","1","93","Haines City","FL","USA","28.1067315","-81.6287423","12105"
"3895429","101675","97","Louisville","ACC","Green Bay","2018","18","1","18","Jaire Alexander","Cornerback","70","196","17","2","90","Charlotte","NC","USA","35.2272","-80.843083","37119"
"3138677","101747","68","Boise State","Mountain West","Dallas","2018","19","1","19","Leighton Vander Esch","Inside Linebacker","76","256","32","2","86","Riggins","ID","USA","45.4221105","-116.315411","16049"
"3128689","101708","8","Arkansas","SEC","Detroit","2018","20","1","20","Frank Ragnow","Center","77","312","24","2","89","Victoria","MN","USA","44.8585738","-93.6616266","27019"
"549826","101706","194","Ohio State","Big Ten","Cincinnati","2018","21","1","21","Billy Price","Center","76","305","33","3","86","Austintown","OH","USA","41.1017247","-80.7645239","39099"
"3126349","101532","333","Alabama","SEC","Tennessee","2018","22","1","22","Rashaan Evans","Inside Linebacker","74","232","19","1","90","Auburn","AL","USA","32.6550905","-85.50364346309962","01081"
"3128713","101729","61","Georgia","SEC","New England","2018","23","1","23","Isaiah Wynn","Offensive Guard","74","313","38","4","85","St. Petersburg","FL","USA","27.7703796","-82.6695085","12103"
"3915416","101759","120","Maryland","Big Ten","Carolina","2018","24","1","24","D.J. Moore","Wide Receiver","72","210","22","2","89","Philadelphia","PA","USA","39.9527237","-75.1635262","42101"
"3924365","101570","2579","South Carolina","SEC","Baltimore","2018","25","1","25","Hayden Hurst","Tight End","77","250","28","1","88","Jacksonville","FL","USA","30.3321838","-81.655651","12031"
"3925357","101515","333","Alabama","SEC","Atlanta","2018","26","1","26","Calvin Ridley","Wide Receiver","73","189","20","1","90","Fort Lauderdale","FL","USA","26.1223084","-80.1433786","12011"
"3139925","101710","21","San Diego State","Mountain West","Seattle","2018","27","1","27","Rashaad Penny","Running Back","71","220","47","5","84","Norwalk","CA","USA","33.9092802","-118.0849169","06037"
"3124067","101847","259","Virginia Tech","ACC","Pittsburgh","2018","28","1","28","Terrell Edmunds","Safety","73","217","81","6","74","Danville","VA","USA","36.5859718","-79.3950228","51590"
"559553","101752","57","Florida","SEC","Jacksonville","2018","29","1","29","Taven Bryan","Defensive Tackle","77","291","21","3","90","Casper","WY","USA","42.866632","-106.313081","56025"
"3895841","101834","2116","UCF","American Athletic","Minnesota","2018","30","1","30","Mike Hughes","Cornerback","70","189","23","3","89","New Bern","NC","USA","35.1084931","-77.0441143","37049"
"3128721","101712","61","Georgia","SEC","New England","2018","31","1","31","Sony Michel","Running Back","71","214","31","2","87","Plantation","FL","USA","26.1265258","-80.25786123765101","12011"
"3916387","101568","97","Louisville","ACC","Baltimore","2018","32","1","32","Lamar Jackson","Quarterback","74","216","29","5","87","Pompano Beach","FL","USA","26.2378597","-80.1247667","12011"
"552068","101581","2440","Nevada","Mountain West","Cleveland","2018","33","2","1","Austin Corbett","Offensive Guard","76","306","40","5","85","Sparks","NV","USA","39.5404679","-119.7487235","32031"
"-1039264","101728","2638","UTEP","Conference USA","New York","2018","34","2","2","Will Hernandez","Offensive Guard","74","327","25","2","89","Las Vegas","NV","USA","36.1672559","-115.1485163","32003"
"3128720","101549","61","Georgia","SEC","Cleveland","2018","35","2","3","Nick Chubb","Running Back","71","227","34","3","86","Cedartown","GA","USA","34.0124425","-85.2559398","13233"
"3056362","101567","2569","South Carolina State","MEAC","Indianapolis","2018","36","2","4","Darius Leonard","Outside Linebacker","74","234","67","6","78","","","","","",""
"3121595","101554","2","Auburn","SEC","Indianapolis","2018","37","2","5","Braden Smith","Offensive Guard","78","315","57","6","82","Olathe","KS","USA","38.8838856","-94.81887","20091"
"3912550","101527","30","USC","Pac-12","Tampa Bay","2018","38","2","6","Ronald Jones II","Running Back","71","205","56","6","82","McKinney","TX","USA","33.1976496","-96.6154471","48085"
"3894849","101707","2294","Iowa","Big Ten","Chicago","2018","39","2","7","James Daniels","Center","75","306","18","1","90","Warren","OH","USA","41.237557","-80.818417","39155"
"3128429","101521","2567","SMU","American Athletic","Denver","2018","40","2","8","Courtland Sutton","Wide Receiver","75","218","44","4","84","Brenham","TX","USA","30.1668828","-96.3977442","48477"
