"CollegeAthleteId","NflAthleteId","CollegeId","CollegeTeam","CollegeConference","NflTeam","Year","Overall","Round","Pick","Name","Position","Height","Weight","PreDraftRanking","PreDraftPositionRanking","PreDraftGrade","HometownInfo City","HometownInfo State","HometownInfo Country","HometownInfo Latitude","HometownInfo Longitude","HometownInfo CountyFips"
"-1006593","29334","2117","Central Michigan","Mid-American","Kansas City","2013","1","1","1","Eric Fisher","Offensive Tackle","79","306","2","2","96","Rochester","MI","USA","42.680588","-83.1338214","27109"
"-1035204","29963","245","Texas A&M","SEC","Jacksonville","2013","2","1","2","Luke Joeckel","Offensive Tackle","78","306","1","1","96","Arlington","TX","USA","32.701938999999996","-97.10562379033699","48439"
"-1028504","30376","2483","Oregon","Pac-12","Miami","2013","3","1","3","Dion Jordan","Outside Linebacker","78","248","6","1","95","Chandler","AZ","USA","33.3062223","-111.8413317","04013"
"-1027551","30253","201","Oklahoma","Big 12","Philadelphia","2013","4","1","4","Lane Johnson","Offensive Tackle","78","303","7","3","95","Groveton","TX","USA","31.0549071","-95.1257691","48455"
"502427","30245","252","BYU","FBS Independents","Detroit","2013","5","1","5","Ezekiel Ansah","Defensive End","77","271","8","1","95","Accra","","Ghana","","",""
"-1016638","29235","99","LSU","SEC","Cleveland","2013","6","1","6","Barkevious Mingo","Defensive End","76","241","11","2","93","West Monroe","LA","USA","32.5184775","-92.1476353","22073"
"381518","29242","153","North Carolina","ACC","Arizona","2013","7","1","7","Jonathan Cooper","Offensive Guard","74","311","10","2","94","Wilmington","NC","USA","34.2257282","-77.9447107","37129"
"487982","29974","277","West Virginia","Big 12","Los Angeles","2013","8","1","8","Tavon Austin","Wide Receiver","69","174","12","1","93","Baltimore","MD","USA","39.2908816","-76.610759","24510"
"515911","30220","333","Alabama","SEC","New York","2013","9","1","9","Dee Milliner","Cornerback","72","201","4","1","95","Millbrook","AL","USA","32.4798575","-86.3619163","01051"
"-1000979","29233","333","Alabama","SEC","Tennessee","2013","10","1","10","Chance Warmack","Offensive Guard","74","317","9","1","95","Atlanta","GA","USA","33.7490987","-84.3901849","13121"
"-1000962","30232","333","Alabama","SEC","Los Angeles","2013","11","1","11","D.J. Fluker","Offensive Tackle","77","339","16","4","92","Foley","AL","USA","30.4065868","-87.6835974","01003"
"512467","31079","248","Houston","Conference USA","Las Vegas","2013","12","1","12","D.J. Hayden","Cornerback","","191","","","","Houston","TX","USA","29.7589382","-95.3676974","48201"
"-1022494","29203","142","Missouri","SEC","New York","2013","13","1","13","Sheldon Richardson","Defensive Tackle","75","294","14","3","93","St. Louis","MO","USA","38.6268039","-90.1994097","29510"
"503048","29237","254","Utah","Pac-12","Carolina","2013","14","1","14","Star Lotulelei","Defensive Tackle","75","311","3","1","95","South Jordan","UT","USA","40.5621704","-111.929658","49035"
"481808","29251","251","Texas","Big 12","New Orleans","2013","15","1","15","Kenny Vaccaro","Safety","72","214","15","1","93","Brownwood","TX","USA","31.7070026","-98.9831022","48049"
"380849","30224","52","Florida State","ACC","Buffalo","2013","16","1","16","EJ Manuel","Quarterback","77","237","77","6","76","Virginia Beach","VA","USA","36.8529841","-75.9774183","51810"
"480493","29247","61","Georgia","SEC","Pittsburgh","2013","17","1","17","Jarvis Jones","Outside Linebacker","74","245","20","2","91","Columbus","GA","USA","32.4609764","-84.9877094","13215"
"504161","29202","99","LSU","SEC","San Francisco","2013","18","1","18","Eric Reid","Safety","73","213","41","4","87","Geismar","LA","USA","30.2043633","-91.0226013","22005"
"-1033321","29241","183","Syracuse","Big East","New York","2013","19","1","19","Justin Pugh","Offensive Tackle","77","307","22","5","91","Holland","PA","USA","40.1728871","-74.9926688","42017"
"-1028506","30262","2483","Oregon","Pac-12","Chicago","2013","20","1","20","Kyle Long","Offensive Guard","78","313","26","3","89","Charlottesville","VA","USA","38.029306","-78.4766781","51540"
"483387","29260","87","Notre Dame","FBS Independents","Cincinnati","2013","21","1","21","Tyler Eifert","Tight End","78","250","13","1","93","Ft. Wayne","IN","USA","41.0799898","-85.1386015","18003"
"482597","29254","264","Washington","Pac-12","Atlanta","2013","22","1","22","Desmond Trufant","Cornerback","72","190","33","3","88","Tacoma","WA","USA","47.2495798","-122.4398746","53053"
"-1009876","29257","57","Florida","SEC","Minnesota","2013","23","1","23","Sharrif Floyd","Defensive Tackle","75","297","5","2","95","Philadelphia","PA","USA","39.9527237","-75.1635262","42101"
"501100","30221","52","Florida State","ACC","Indianapolis","2013","24","1","24","Bjoern Werner","Defensive End","75","266","23","3","90","Berlin","","Germany","","",""
"480766","29986","52","Florida State","ACC","Minnesota","2013","25","1","25","Xavier Rhodes","Cornerback","74","210","40","4","87","Miami","FL","USA","25.7742658","-80.1936589","12086"
"380732","29289","26","UCLA","Pac-12","Green Bay","2013","26","1","26","Datone Jones","Defensive End","76","283","24","4","90","Compton","CA","USA","33.894927","-118.226624","06037"
"501689","30261","228","Clemson","ACC","Houston","2013","27","1","27","DeAndre Hopkins","Wide Receiver","73","214","47","6","86","Central","SC","USA","34.7257424","-82.7804999","45077"
"516348","29239","153","North Carolina","ACC","Denver","2013","28","1","28","Sylvester Williams","Defensive Tackle","75","313","18","4","92","Jefferson City","MO","USA","38.577359","-92.1724265","29051"
"532092","30260","2633","Tennessee","SEC","Minnesota","2013","29","1","29","Cordarrelle Patterson","Wide Receiver","74","216","29","3","89","Rock Hill","SC","USA","34.9248667","-81.0250784","45091"
"504007","29252","61","Georgia","SEC","Los Angeles","2013","30","1","30","Alec Ogletree","Inside Linebacker","75","242","19","1","92","Newnan","GA","USA","33.3806716","-84.7996573","13077"
"-1043878","30283","275","Wisconsin","Big Ten","Dallas","2013","31","1","31","Travis Frederick","Center","76","312","71","1","78","Sharon","WI","USA","42.5025165","-88.7289927","55127"
"501556","30222","57","Florida","SEC","Baltimore","2013","32","1","32","Matt Elam","Safety","70","208","27","2","89","Palm Beach Gardens","FL","USA","26.8418256","-80.13590694666684","12099"
"2469879","29352","2229","Florida International","Sun Belt","Jacksonville","2013","33","2","1","Johnathan Cyprien","Safety","72","217","37","3","88","","","","","",""
"501520","29238","2633","Tennessee","SEC","Tennessee","2013","34","2","2","Justin Hunter","Wide Receiver","76","196","25","2","90","Virginia Beach","VA","USA","36.8529841","-75.9774183","51810"
"482590","29190","24","Stanford","Pac-12","Philadelphia","2013","35","2","3","Zach Ertz","Tight End","77","249","35","2","88","Alamo","CA","USA","37.8502033","-122.032184","06013"
"512039","29485","344","Mississippi State","SEC","Detroit","2013","36","2","4","Darius Slay","Cornerback","72","192","64","9","79","Brunswick","GA","USA","31.1499528","-81.4914894","13127"
"500890","30234","153","North Carolina","ACC","Cincinnati","2013","37","2","5","Giovani Bernard","Running Back","68","202","93","6","73","Davie","FL","USA","26.075729","-80.28410897530864","12011"
"517633","29240","87","Notre Dame","FBS Independents","Los Angeles","2013","38","2","6","Manti Te'o","Inside Linebacker","73","241","21","2","91","Laie","HI","USA","21.647244399999998","-157.93069756074482","15003"
"488025","29965","277","West Virginia","Big 12","New York","2013","39","2","7","Geno Smith","Quarterback","74","218","28","1","89","Miami","FL","USA","25.7742658","-80.1936589","12086"
"2576771","29318","52","Florida State","ACC","San Francisco","2013","40","2","8","Cornellius (Tank) Carradine","Defensive End","76","276","31","5","89","","","","","",""
"500234","29964","30","USC","Pac-12","Buffalo","2013","41","2","9","Robert Woods","Wide Receiver","72","201","32","4","88","Carson ","CA","USA","33.8322043","-118.2517547","06037"
"-1011057","30314","52","Florida State","ACC","Las Vegas","2013","42","2","10","Menelik Watson","Offensive Tackle","77","310","30","6","89","Manchester","","United Kingdom","","",""
"483145","29962","344","Mississippi State","SEC","Tampa Bay","2013","43","2","11","Johnthan Banks","Cornerback","74","185","55","7","83","Maben","MS","USA","33.554293799999996","-89.08071261681248","28105"
"382047","29961","2509","Purdue","Big Ten","Carolina","2013","44","2","12","Kawann Short","Defensive Tackle","75","299","49","6","86","East Chicago","IN","USA","41.6397857","-87.4548466","18089"
"481964","30259","99","LSU","SEC","Arizona","2013","45","2","13","Kevin Minter","Inside Linebacker","72","246","46","3","86","Suwanee","GA","USA","34.0514898","-84.0712997","13135"
"379307","30381","2483","Oregon","Pac-12","Buffalo","2013","46","2","14","Kiko Alonso","Inside Linebacker","75","238","99","6","72","Los Gatos","CA","USA","37.226611","-121.9746797","06085"
"481181","30242","21","San Diego State","Mountain West","Dallas","2013","47","2","15","Gavin Escobar","Tight End","78","254","59","3","81","Rancho Santa Margarita","CA","USA","33.6408845","-117.6029341","06059"
"2515397","30218","127","Michigan State","Big Ten","Pittsburgh","2013","48","2","16","Le'veon Bell","Running Back","73","230","89","5","74","","","","","",""
"-1027181","29244","194","Ohio State","Big Ten","New York","2013","49","2","17","Johnathan Hankins","Defensive Tackle","75","320","68","9","78","Dearborn Heights","MI","USA","42.3369816","-83.2732627","26163"
"482711","30000","57","Florida","SEC","Chicago","2013","50","2","18","Jonathan Bostic","Inside Linebacker","73","245","92","5","73","Wellington","FL","USA","26.63799875","-80.25590780868578","12099"
"501149","29234","152","NC State","ACC","Washington","2013","51","2","19","David Amerson","Cornerback","73","205","108","15","70","Greensboro","NC","USA","36.0726355","-79.7919754","37081"
"-1032763","29225","2572","Southern Mississippi","Conference USA","New England","2013","52","2","20","Jamie Collins","Outside Linebacker","76","250","81","6","76","McCall Creek","MS","USA","31.5126719","-90.698711","28037"
"483240","29617","2567","SMU","Conference USA","Cincinnati","2013","53","2","21","Margus Hunt","Defensive End","80","277","42","5","87","Karksi-Nuia","","Estonia","","",""
"378361","30095","68","Boise State","Mountain West","Miami","2013","54","2","22","Jamar Taylor","Cornerback","71","192","45","5","86","San Diego","CA","USA","32.7174209","-117.1627714","06073"
"482477","29592","242","Rice","Conference USA","San Francisco","2013","55","2","23","Vance McDonald","Tight End","76","267","69","5","78","Winnie","TX","USA","29.8202205","-94.3840777","48071"
"377699","30379","2306","Kansas State","Big 12","Baltimore","2013","56","2","24","Arthur Brown","Outside Linebacker","72","241","48","3","86","Wichita","KS","USA","37.6922361","-97.3375448","20173"
"483193","29217","2579","South Carolina","SEC","Houston","2013","57","2","25","D.J. Swearinger","Safety","71","208","44","5","86","Greenwood","SC","USA","34.1954001","-82.1617883","45047"
"482389","29208","275","Wisconsin","Big Ten","Denver","2013","58","2","26","Montee Ball","Running Back","71","214","57","2","82","Wentzville","MO","USA","38.8244136","-90.8683119","29183"
