"CollegeAthleteId","NflAthleteId","CollegeId","CollegeTeam","CollegeConference","NflTeam","Year","Overall","Round","Pick","Name","Position","Height","Weight","PreDraftRanking","PreDraftPositionRanking","PreDraftGrade","HometownInfo City","HometownInfo State","HometownInfo Country","HometownInfo Latitude","HometownInfo Longitude","HometownInfo CountyFips"
"530308","46810","52","Florida State","ACC","Tampa Bay","2015","1","1","1","Jameis Winston","Quarterback","76","231","1","1","97","Bessemer","AL","USA","33.3823635","-86.91720475","01073"
"511459","46814","2483","Oregon","Pac-12","Tennessee","2015","2","1","2","Marcus Mariota","Quarterback","76","222","5","2","93","Honolulu","HI","USA","21.304547","-157.8556764","15003"
"2980100","46813","57","Florida","SEC","Jacksonville","2015","3","1","3","Dante Fowler Jr.","Defensive End","75","261","4","2","93","","","","","",""
"534458","46812","333","Alabama","SEC","Las Vegas","2015","4","1","4","Amari Cooper","Wide Receiver","73","211","3","1","94","Miami","FL","USA","25.7742658","-80.1936589","12086"
"500839","46815","2294","Iowa","Big Ten","Washington","2015","5","1","5","Brandon Scherff","Offensive Tackle","77","319","6","1","93","Denison","IA","USA","42.0177658","-95.3552757","19047"
"531014","46811","30","USC","Pac-12","New York","2015","6","1","6","Leonard Williams","Defensive End","77","302","2","1","96","Daytona Beach","FL","USA","29.2108147","-81.0228331","12127"
"546052","46816","277","West Virginia","Big 12","Chicago","2015","7","1","7","Kevin White","Wide Receiver","75","215","7","2","93","Plainfield","NJ","USA","40.6337136","-74.4073737","34039"
"-1007369","46834","228","Clemson","ACC","Atlanta","2015","8","1","8","Vic Beasley","Outside Linebacker","75","246","25","3","89","Adairsville","GA","USA","34.3687021","-84.9341093","13015"
"-1019743","46822","2390","Miami","ACC","New York","2015","9","1","9","Ereck Flowers","Offensive Tackle","78","329","13","3","90","Miami","FL","USA","25.7742658","-80.1936589","12086"
"-1011711","46817","61","Georgia","SEC","Los Angeles","2015","10","1","10","Todd Gurley","Running Back","73","222","8","1","92","Tarboro","NC","USA","35.8968236","-77.5358049","37065"
"512727","46819","127","Michigan State","Big Ten","Minnesota","2015","11","1","11","Trae Waynes","Cornerback","72","186","10","1","91","Kenosha","WI","USA","42.5846773","-87.8212263","55059"
"513065","46823","264","Washington","Pac-12","Cleveland","2015","12","1","12","Danny Shelton","Defensive Tackle","74","339","14","1","90","Auburn","WA","USA","47.3075369","-122.2301808","53033"
"-1033012","46820","24","Stanford","Pac-12","New Orleans","2015","13","1","13","Andrus Peat","Offensive Tackle","79","313","11","2","91","Chandler","AZ","USA","33.3062223","-111.8413317","04013"
"511615","46818","97","Louisville","ACC","Miami","2015","14","1","14","DeVante Parker","Wide Receiver","75","209","9","3","92","Louisville","KY","USA","38.2542376","-85.759407","21111"
"514218","46826","275","Wisconsin","Big Ten","Los Angeles","2015","15","1","15","Melvin Gordon","Running Back","73","215","17","2","90","Kenosha","WI","USA","42.5846773","-87.8212263","55059"
"500547","46824","154","Wake Forest","ACC","Houston","2015","16","1","16","Kevin Johnson","Cornerback","72","188","15","3","90","Clarksville","MD","USA","39.2065447","-76.9429182","24027"
"-1028443","46821","2483","Oregon","Pac-12","San Francisco","2015","17","1","17","Arik Armstead","Defensive End","79","292","12","3","91","Sacramento","CA","USA","38.5815719","-121.4943996","06067"
"513059","46830","264","Washington","Pac-12","Kansas City","2015","18","1","18","Marcus Peters","Cornerback","72","197","21","2","90","Oakland","CA","USA","37.8044557","-122.2713563","06001"
"-1010963","46825","52","Florida State","ACC","Cleveland","2015","19","1","19","Cameron Erving","Center","78","313","16","1","90","Moultrie","GA","USA","31.179998","-83.7887928","13071"
"531010","46832","30","USC","Pac-12","Philadelphia","2015","20","1","20","Nelson Agholor","Wide Receiver","72","198","23","5","89","Tampa","FL","USA","27.9477595","-82.458444","12057"
"-1035153","46844","245","Texas A&M","SEC","Cincinnati","2015","21","1","21","Cedric Ogbuehi","Offensive Tackle","77","306","35","5","88","Allen","TX","USA","33.1031744","-96.6705503","48085"
"517448","46833","96","Kentucky","SEC","Pittsburgh","2015","22","1","22","Bud Dupree","Outside Linebacker","76","269","24","2","89","Irwinton","GA","USA","32.8112594","-83.1726541","13319"
"-1022444","46840","142","Missouri","SEC","Denver","2015","23","1","23","Shane Ray","Outside Linebacker","75","245","31","5","88","Shawnee Mission","KS","USA","38.99134745","-94.63274030884841","20091"
"-1009832","46841","57","Florida","SEC","Arizona","2015","24","1","24","D.J. Humphries","Offensive Tackle","77","307","32","6","88","Charlotte","NC","USA","35.2272","-80.843083","37119"
"535329","46878","264","Washington","Pac-12","Carolina","2015","25","1","25","Shaq Thompson","Outside Linebacker","72","228","69","8","78","Sacramento","CA","USA","38.5815719","-121.4943996","06067"
"531670","46829","2116","UCF","American Athletic","Baltimore","2015","26","1","26","Breshad Perriman","Wide Receiver","74","212","20","4","90","Lithonia","GA","USA","33.7123305","-84.1051939","13089"
"502300","46846","41","Connecticut","American Athletic","Dallas","2015","27","1","27","Byron Jones","Cornerback","73","199","37","4","88","New Britain","CT","USA","41.6612104","-72.7795419","09003"
"-1008795","46862","150","Duke","ACC","Detroit","2015","28","1","28","Laken Tomlinson","Offensive Guard","75","323","53","1","82","Chicago","IL","USA","41.8755616","-87.6244212","17031"
"517570","46836","2390","Miami","ACC","Indianapolis","2015","29","1","29","Phillip Dorsett","Wide Receiver","70","185","27","6","88","Ft. Lauderdale","FL","USA","26.1223084","-80.1433786","12011"
"546460","46847","9","Arizona State","Pac-12","Green Bay","2015","30","1","30","Damarious Randall","Safety","71","196","38","2","87","Pensacola","FL","USA","30.421309","-87.2169149","12033"
"511197","46859","228","Clemson","ACC","New Orleans","2015","31","1","31","Stephone Anthony","Inside Linebacker","75","243","50","3","83","Polkton","NC","USA","35.0076546","-80.2008947","37007"
